2021-04-07 21:52:47,950 DEBUG   telegram.ext.dispatcher Setting singleton dispatcher as <telegram.ext.dispatcher.Dispatcher object at 0x0000025C4A28F040>
2021-04-07 21:52:47,952 DEBUG   JobQueue JobQueue thread started
2021-04-07 21:52:47,952 DEBUG   telegram.ext.updater dispatcher - started
2021-04-07 21:52:47,953 DEBUG   telegram.ext.updater updater - started
2021-04-07 21:52:47,954 DEBUG   telegram.ext.updater Updater thread started (polling)
2021-04-07 21:52:47,954 DEBUG   telegram.ext.updater Start network loop retry bootstrap del webhook
2021-04-07 21:52:47,954 DEBUG   telegram.bot Entering: delete_webhook
2021-04-07 21:52:47,955 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool Starting new HTTPS connection (1): api.telegram.org
2021-04-07 21:52:47,958 DEBUG   telegram.ext.dispatcher Dispatcher started
2021-04-07 21:52:48,217 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/deleteWebhook HTTP/1.1" 200 68
2021-04-07 21:52:48,219 DEBUG   telegram.bot True
2021-04-07 21:52:48,219 DEBUG   telegram.bot Exiting: delete_webhook
2021-04-07 21:52:48,219 DEBUG   telegram.ext.updater Bootstrap done
2021-04-07 21:52:48,219 DEBUG   telegram.ext.updater Start network loop retry getting Updates
2021-04-07 21:52:48,219 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:52:52,623 DEBUG   telegram.vendor.ptb_urllib3.urllib3.connectionpool https://api.telegram.org:443 "POST /bot1753864794:AAG8HBLi9hlcmVYkR6bnrHJ9c6pssWZ6PEI/getUpdates HTTP/1.1" 200 521
2021-04-07 21:52:52,624 DEBUG   telegram.bot Getting updates: [297234471]
2021-04-07 21:52:52,624 DEBUG   telegram.bot [<telegram.update.Update object at 0x0000025C4A2A60D0>]
2021-04-07 21:52:52,624 DEBUG   telegram.bot Exiting: get_updates
2021-04-07 21:52:52,624 DEBUG   telegram.bot Entering: get_updates
2021-04-07 21:52:52,625 DEBUG   telegram.ext.dispatcher Processing Update: {'update_id': 297234471, 'message': {'message_id': 574, 'date': 1617821572, 'chat': {'id': 445900772, 'type': 'private', 'username': 'Verssania', 'first_name': 'Лина', 'last_name': 'Францева'}, 'text': '/start', 'entities': [{'type': 'bot_command', 'offset': 0, 'length': 6}], 'caption_entities': [], 'photo': [], 'new_chat_members': [], 'new_chat_photo': [], 'delete_chat_photo': False, 'group_chat_created': False, 'supergroup_chat_created': False, 'channel_chat_created': False, 'from': {'id': 445900772, 'first_name': 'Лина', 'is_bot': False, 'last_name': 'Францева', 'username': 'Verssania', 'language_code': 'ru'}}}
